T,X,Y,Z,Rx,Ry,Rz
1,0,-1271,-147,1722,197,-174
3,0,257,-81,2235,163,-392
5,0,58,-27,2132,174,-394
7,0,103,-24,2191,77,-679
9,0,232,-50,2071,54,-767
11,0,-1271,-147,1722,197,-174
13,0,257,-81,2235,163,-392
15,0,58,-27,2132,174,-394
17,0,103,-24,2191,77,-679
19,0,232,-50,2071,54,-767
21,0,-1271,-147,1722,197,-174
23,0,257,-81,2235,163,-392
25,0,58,-27,2132,174,-394
27,0,103,-24,2191,77,-679
29,0,232,-50,2071,54,-767
31,0,-1271,-147,1722,197,-174
33,0,257,-81,2235,163,-392
35,0,58,-27,2132,174
37,0,103,-24,2191,77,-679
39,0,232,-50,2071,54,-767
41,0,-1271,-147,1722,197,-174
43,0,257,-81,2235,163,-392
45,0,58,-27,2132,174,-394
47,0,103,-24,2191,77,-679
49,0,232,-50,2071,54,-767
51,0,-1271,-147,1722,197,-174
53,0,257,-81,2235,163,-392
55,0,58,-27,2132,174,-394
57,0,103,-24,2191,77,-679
59,0,232,-50,2071,54,-767
61,0,-1271,-147,1722,197,-174
63,0,257,-81,2235,163,-392
65,0,58,-27,2132,174,-394
67,0,103,-24,2191,77,-679
69,0,232,-50,2071,54,-767
71,0,-1271,-147,1722,197,-174
73,0,
75,0,58,-27,2132,174,-394
77,0,103,-24,2191,77,-679
79,0,232,-50,2071,54,-767
81,0,-1271,-147,1722,197,-174
83,0,257,-81,2235,163,-392
85,0,58,-27,2132,174,-394
87,0,103,-24,2191,77,-679
89,0,232,-50,2071,54,-767
91,0,-1271,-147,1722,197,-174
93,0,257,-81,2235,163,-392
95,0,58,-27,2132,174,-394
97,0,103,-24,2191,77,-679
99,0,232,-50,2071,54,-767
101,0,-1271,-147,1722,197,-174
103,0,257,-81,2235,163,-392
105,0,58,-27,2132,174,-394
107,0,103,-24,2191,77,-679
109,0,232,-50,2071,54,-767
111,
113,0,257,-81,2235,163,-392
115,0,58,-27,2132,174,-394
117,0,103,-24,2191,77,-679
119,0,232,-50,2071,54,-767
121,0,-1271,-147,1722,197,-174
123,0,257,-81,2235,163,-392
125,0,58,-27,2132,174,-394
127,0,103,-24,2191,77,-679
129,0,232,-50,2071,54,-767
131,0,-1271,-147,1722,197,-174
133,0,257,-81,2235,163,-392
135,0,58,-27,2132,174,-394
137,0,103,-24,2191,77,-679
139,0,232,-50,2071,54,-767
141,0,-1271,-147,1722,197,-174
143,0,257,-81,2235,163,-392
145,0,58,-27,2132,174,-394
